Annee;Effet_serre;CO2;Niveau_de_mer;Glaciers;ForestArea;Energie renouvelable;Energie nucleaire;Energie fossile;Consommation renouvelable;Consommation electrique
2000;40563437;4.03;25;-17.73;31.25;1.4;16.71;63.69;17.9;2384.21
2001;40365672.95;4.08;29.6;-18.03;31.22;1.44;16.89;64.09;17.6;2377.82
2002;43070574.64;4.08;33.3;-18.73;31.18;1.56;16.39;64.62;17.62;2432.59
2003;44422304.87;4.25;35.4;-19.98;31.15;1.65;15.66;65.83;17.43;2497.93
2004;45658897.99;4.41;37.6;-20.7;31.11;1.8;15.56;65.5;17.1;2575.75
2005;47216058.67;4.52;41.4;-21.41;31.08;1.96;15.08;65.76;17.04;2653.49
2006;48639987.97;4.63;42.9;-22.6;31.05;2.13;14.64;66.08;17.12;2729.76
2007;49977387.11;4.67;43.2;-23.26;31.03;2.35;13.67;67.2;16.91;2819.37
2008;48664440.84;4.76;48.6;-23.78;31;2.68;13.48;66.83;17.04;2840.66
2009;48150621.23;4.66;53.5;-24.46;30.98;3.13;13.35;66.12;17.51;2791.11
2010;50911113.68;4.83;54.9;-25.16;30.95;3.55;12.79;66.31;17.26;2954.76
2011;52790527;4.97;54.6;-26.29;30.93;4.1;11.61;66.99;17.21;3019.62
2012;53526302.83;5;65.4;-26.93;30.9;4.7;10.82;66.82;17.48;3046.33
2013;;4.99;67.9;-27.82;30.88;5.41;10.59;66.32;17.7;3105.95
2014;;4.97;71.3;-28.65;30.85;6.01;10.61;65.63;17.87;3127.36
2015;;;;;30.83;6.77;8.12;65.24;18.05;
